"","logFC","logCPM","PValue","FDR"
"YPR187W",1.11626961069016,6.71507455199159,0.00295947627333047,0.0304336693934614
"YDL167C",1.48768981127834,4.74459586573436,0.0032202287221718,0.0326649996983019
"YBR084C-A",1.48138602271497,10.3467663651737,0.00327488731221531,0.0330179531717508
"YDR450W",1.60884356210047,9.75772401682293,0.00334123927632718,0.0332616670901729
"YGR214W",1.58201581726218,9.82379978540121,0.00347508186595431,0.0341237362175663
"YOR234C",1.55877752930489,8.253151772463,0.00351356683581256,0.0342441663251583
"YGL030W",1.53231159088473,10.073125178767,0.00365019776937884,0.0355095589333986
"YLR167W",1.48852654551351,11.6352670050654,0.00366821334076016,0.0356184879035894
"YEL040W",1.24334314409377,7.1755164726696,0.0036960259271898,0.0357966563782282
"YLR185W",1.49446366124914,9.09287847869042,0.00372367493041018,0.0358542901515858
"YGR187C",1.27678566342134,4.73101442822969,0.00373367799434584,0.0358542901515858
"YOR182C",1.30657807819019,8.22266692096186,0.00376087556739959,0.0359495978701786
"YBR191W",1.51828420398753,9.991798433167,0.00376840496978296,0.0359495978701786
"YJL177W",1.48043879468986,9.2336500240042,0.00377112933247662,0.0359495978701786
"YDL061C",1.22172983882091,8.1990850862044,0.00381379696212672,0.036192082716147
"YPL220W",1.50593945610039,9.99292075241604,0.00383670338390338,0.0363096711549117
"YML073C",1.43121278034709,9.74502336427432,0.00389680012849469,0.0368117249028142
"YDL229W",1.62787305708881,11.295553855674,0.00394919844700104,0.03697242417049
"YMR177W",1.491898015819,4.3736001679164,0.00399775438092067,0.037265159453909
"YGR208W",1.24310799277451,6.28861633125954,0.00400572594607145,0.037265159453909
"YGR118W",1.37685286192992,9.80623710497514,0.00400900069163416,0.037265159453909
"YLR441C",1.43401932374999,10.5633287463792,0.00404408491455093,0.0374157793086664
"YBR181C",1.56348415782734,10.56660763846,0.00406194650903568,0.0374904744932904
"YJL189W",1.38243506130958,9.01835534317363,0.00416330859804852,0.0380895343541251
"YMR230W",1.51045900111987,8.74145542685175,0.00423483565014508,0.0385978066724297
"YBR135W",1.15125091390257,5.01401914269008,0.00426021978287131,0.0386961746371654
"YDL191W",1.45125402925352,9.25545598904132,0.00430373703613501,0.038897443385414
"YBL068W",1.03364918309079,6.04072536880712,0.00442457891922823,0.039851724610428
"YER102W",1.52405394949695,10.4553894217338,0.00453453797532353,0.0405623739436475
"YNL178W",1.50364469928452,11.0596797225237,0.00456319043879416,0.0407036682545548
"YDR418W",1.51505986215604,10.2323177785039,0.00456591684478735,0.0407036682545548
"YDR399W",1.08017782668476,7.78386572928655,0.00461923387733985,0.0410389077809921
"YJR123W",1.48010046513027,11.4715830046982,0.0048204379929834,0.0425193487313316
"YDL075W",1.43391038449536,9.78972822084414,0.00488086662444068,0.0429253320641046
"YIL133C",1.53992589624903,9.61620401207819,0.00490164501031726,0.0429634119696265
"YIL091C",1.18434399124862,5.34976352962663,0.00493293482288233,0.0431652454183204
"YML024W",1.41635503473495,9.73916773015541,0.0050089395154037,0.0437252956686269
"YBL087C",1.42893429324166,9.30867910036553,0.0050136776618506,0.0437252956686269
