conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YDL166C	17	24	20	25
YDL165W	35	29	26	39
YDL164C	44	40	30	72
YDL161W	116	114	72	114
YDL160C-A	10	13	10	23
YDL160C	76	68	56	62
YDL159W-A	1	0	0	0
YDL159W	55	53	39	40
YDL157C	17	24	36	33
YDL156W	17	14	19	15
YDL155W	40	39	44	62
YDL154W	20	16	16	16
YDL153C	43	60	106	203
YDL150W	20	32	52	80
YDL149W	62	42	23	35
YDL148C	23	30	63	121
YDL147W	379	314	201	274
YDL146W	52	58	40	52
YDL145C	398	428	345	433
YDL144C	90	79	54	58
YDL143W	223	331	243	364
YDL142C	46	40	32	40
YDL141W	53	48	51	62
YDL140C	352	306	272	378
YDL139C	16	10	5	12
YDL138W	62	36	40	53
YDL137W	292	246	126	157
YDL136W	154	335	508	718
YDL135C	81	77	48	66
YDL134C	141	126	95	160
YDL133C-A	66	134	164	206
YDL133W	29	19	32	52
YDL132W	166	183	119	164
YDL131W	218	357	78	160
YDL130W-A	147	155	89	84
YDL130W	181	398	531	752
YDL129W	23	12	14	23
YDL128W	122	117	87	117
YDL127W	17	17	18	13
YDL126C	1463	1468	750	1036
YDL125C	142	143	112	188
YDL124W	937	763	346	478
YDL123W	50	32	25	34
YDL122W	80	94	97	169
YDL121C	21	31	28	37
YDL120W	56	71	47	50
YDL119C	21	26	25	21
YDL117W	48	64	48	81
YDL116W	69	64	66	98
YDL115C	128	102	67	78
YDL114W	2	1	0	2
YDL113C	129	99	76	100
YDL112W	48	65	58	115
YDL111C	27	44	41	72
YDL110C	237	237	109	108
YDL109C	25	6	9	23
YDL108W	30	24	21	34
YDL107W	34	23	11	13
YDL106C	70	63	53	66
YDL105W	11	7	9	11
YDL104C	22	16	10	9
YDL103C	87	77	50	63
YDL102W	39	25	38	50
YDL101C	37	28	30	44
YDL100C	244	265	154	251
YDL099W	93	95	76	130
YDL098C	3	10	5	12
YDL097C	375	399	222	311
YDL095W	256	230	228	322
YDL093W	40	36	24	38
YDL092W	30	59	45	87
YDL091C	66	60	34	50
YDL090C	31	37	24	31
YDL089W	52	44	25	45
YDL088C	80	68	43	93
YDL087C	21	13	9	19
YDL086W	192	170	106	146
YDL085C-A	10	15	18	30
YDL085W	55	43	10	9
YDL084W	354	347	310	443
YDL083C	217	456	783	1168
YDL082W	148	274	487	749
YDL081C	288	648	944	1295
YDL080C	44	37	33	56
YDL079C	290	252	143	146
YDL078C	270	253	110	169
YDL077C	71	39	55	79
YDL076C	33	49	42	32
YDL075W	234	505	792	1125
YNCD0002C	1	1	2	8
YDL074C	102	71	79	131
YDL073W	38	34	31	63
YDL072C	138	189	100	127
YDL070W	119	125	85	117
YDL069C	16	10	11	12
YDL067C	116	94	63	99
YDL066W	219	373	111	152
YDL065C	75	63	49	74
YDL064W	44	36	24	43
YDL063C	17	17	32	53
YDL061C	96	176	233	381
YDL060W	30	25	56	96
YDL059C	59	14	12	16
YDL058W	83	94	87	125
YDL057W	16	14	11	14
YDL056W	71	65	49	76
YDL055C	580	591	432	670
YNCD0003W	0	0	0	0
YDL054C	63	83	49	56
YDL053C	53	55	40	63
YDL052C	109	72	72	96
YDL051W	28	58	82	148
YDL049C	18	12	9	14
YDL048C	85	140	139	221
YDL047W	103	87	86	119
YDL046W	254	194	152	196
YDL045W-A	19	20	16	23
YDL045C	54	53	27	43
YDL044C	19	16	19	30
YDL043C	22	12	24	36
YDL042C	28	22	13	31
YDL040C	170	200	139	178
YDL039C	12	13	21	51
YDL037C	5	6	17	24
YDL036C	21	39	43	49
YDL035C	89	98	74	114
YDL033C	31	30	19	30
YDL031W	36	58	75	143
YDL030W	46	12	23	37
YDL029W	247	309	165	181
YDL028C	73	68	38	55
YDL027C	94	71	60	67
YDL025C	120	178	75	97
YDL024C	12	6	4	7
YDL022C-A	2	0	0	0
YNCD0004W	0	0	0	0
YDL022W	663	772	477	638
YDL021W	60	76	9	20
YDL020C	175	119	98	172
YDL019C	388	340	240	289
YDL018C	38	50	29	38
YDL017W	30	38	22	30
YDL015C	135	130	103	143
YDL014W	81	176	375	708
YDL013W	47	36	38	71
YDL012C	33	34	29	34
YDL010W	33	32	18	30
YDL009C	9	10	5	14
YDL008W	20	21	20	18
YNCD0005C	0	0	0	0
YDL007C-A	0	0	0	0
YNCD0006W	0	0	0	0
YDL007W	314	371	193	263
YDL006W	60	38	33	46
YDL005C	76	57	75	82
YDL004W	307	278	175	243
YDL003W	42	35	38	45
YDL002C	40	33	44	52
YDL001W	30	24	31	38
YDR001C	761	644	376	527
