"","logFC","logCPM","PValue","FDR"
"YDR258C",-1.38703192674883,10.0773943409156,0.000386998920408938,0.00707393888091453
"YNL248C",1.4954047498853,6.40434429860402,0.000387321409027478,0.00707393888091453
"YDR178W",-1.1237717369474,7.87749924197944,0.00038888601902752,0.00707393888091453
"YBL004W",1.13081076377406,6.61826698841145,0.00039039339855362,0.00707393888091453
"YHR196W",2.04302316892227,5.32865392166526,0.000391341565196076,0.00707393888091453
"YFL021W",-1.01161959869276,7.12547163522864,0.000400761798604282,0.00721924012382333
"YBR251W",-1.02939001991274,5.86029222932734,0.000403468146485815,0.00724301579808213
"YKL091C",-1.04098762076927,7.59098178722086,0.000405371552628091,0.00725226366756558
"YLR327C",-1.44892919272391,9.23965471974583,0.000412942468422644,0.00731585624671899
"YFR053C",-1.52034430635137,12.288329254608,0.000413196816934222,0.00731585624671899
"YFL055W",-2.43681852708515,5.50950748431038,0.000413665157655697,0.00731585624671899
"YER182W",-0.974887726281735,6.50224105203737,0.000414527842463404,0.00731585624671899
"YMR271C",-1.56428095285562,5.33669909715577,0.000418551633789552,0.00736199910746336
"YPR167C",-2.25329259810602,5.2119737149846,0.000424884867952937,0.00744831728250384
"YLR372W",1.10396430780426,7.61360355115749,0.000431113964376386,0.00753223862843559
"YER175C",-2.78339116953396,6.63874757893455,0.000432884219353324,0.00753795720633921
"YJL153C",-2.01615728338147,6.69859627526154,0.000435157094815757,0.00755236100769938
"YPL080C",2.5925004371502,3.56133551768446,0.000440184470223295,0.00758961677270746
"YCR091W",-0.940664437566685,7.36536355592792,0.000440209395507343,0.00758961677270746
"YMR309C",1.00845531179648,7.1571575428699,0.000441973022800293,0.0075949574707524
"YER127W",1.74022829363491,5.20368988578787,0.000456132831386002,0.00777779693952272
"YER082C",1.07449236209704,6.47217313748417,0.000456299152591203,0.00777779693952272
"YEL022W",0.946994129420911,6.79456539192142,0.000457079567464295,0.00777779693952272
"YLR149C",-1.10944894260213,7.97538855821652,0.000462146913057975,0.00783849179810019
"YDL031W",1.25350425629261,6.70440980818224,0.00047089019018323,0.00796093965539544
"YNL162W",1.60284599168832,9.27735775166409,0.000487847216149055,0.0082210124424602
"YDL082W",1.60354743731393,9.10529091281154,0.000496065227758085,0.00833261977430302
"YKR057W",1.77118403690551,8.68405636255022,0.00050304893468385,0.00842284498329626
"YHR029C",-2.46090944662153,6.59513378725651,0.000505992377134416,0.00844506127204533
"YJR008W",-1.12740427505164,7.41012705969568,0.000508829251593457,0.00846536309020451
"YPL030W",1.74123687411816,4.84599827231651,0.000511535029366578,0.00848336188384445
"YCR069W",-0.957238885225544,7.03187221413776,0.000515835039016215,0.00852760203740729
"YIL087C",-1.04109013344341,6.60728348178414,0.000517514751232119,0.00852838189412174
"YNL096C",1.53875512166922,8.86677515753401,0.000519405902621681,0.00853263029967189
"YJL069C",1.62085460998221,5.33243018775276,0.000522887167360234,0.00856107613340017
"YKR079C",1.49268769076909,5.13058948727018,0.000524415077084237,0.00856107613340017
"YER037W",-1.57025871514527,5.42014482025591,0.000527670397224026,0.0085873836607424
"YJL102W",-0.911385639033916,7.16175940181245,0.000534462068902296,0.00867090014889937
